**************************************************
Checking constraint violation of RightStance:
***************************************
Constraint: timeDuration 	Node: 1 
---------------------------------------
       Lower   Constraint        Upper
5.00000000E-01 9.95220731E-01 1.00000000E+00
***************************************
Constraint: intX 	Node: 2 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 3.31857721E-08 1.00000000E-04
-1.00000000E-04 -3.06676556E-07 1.00000000E-04
-1.00000000E-04 9.61922724E-08 1.00000000E-04
-1.00000000E-04 -1.45364867E-06 1.00000000E-04
-1.00000000E-04 2.13734366E-08 1.00000000E-04
-1.00000000E-04 6.53332762E-07 1.00000000E-04
-1.00000000E-04 8.68162856E-08 1.00000000E-04
-1.00000000E-04 -2.11958070E-08 1.00000000E-04
-1.00000000E-04 1.11869011E-06 1.00000000E-04
-1.00000000E-04 5.90924428E-07 1.00000000E-04
-1.00000000E-04 -1.20226935E-06 1.00000000E-04
-1.00000000E-04 -2.06581628E-07 1.00000000E-04
-1.00000000E-04 -6.75274415E-14 1.00000000E-04
-1.00000000E-04 8.71195664E-14 1.00000000E-04
-1.00000000E-04 -1.96350632E-14 1.00000000E-04
-1.00000000E-04 -2.12518703E-05 1.00000000E-04
-1.00000000E-04 3.32480471E-07 1.00000000E-04
-1.00000000E-04 2.07358868E-05 1.00000000E-04
-1.00000000E-04 -2.45390454E-06 1.00000000E-04
-1.00000000E-04 7.71752599E-07 1.00000000E-04
-1.00000000E-04 2.79442610E-06 1.00000000E-04
-1.00000000E-04 -6.83268164E-08 1.00000000E-04
-1.00000000E-04 3.32929650E-06 1.00000000E-04
-1.00000000E-04 -5.18021815E-07 1.00000000E-04
-1.00000000E-04 4.95496646E-06 1.00000000E-04
-1.00000000E-04 1.73168931E-07 1.00000000E-04
-1.00000000E-04 -7.08158328E-06 1.00000000E-04
***************************************
Constraint: intX 	Node: 16 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 8.97975913E-08 1.00000000E-04
-1.00000000E-04 2.85198578E-08 1.00000000E-04
-1.00000000E-04 -3.15029698E-08 1.00000000E-04
