*************
Phase: 1 	Variable: T 	Node: 1 
*************
          lb           xc           ub
0.00000000E+00 3.16182964E-03 1.00000000E+00
*************
Phase: 1 	Variable: Qe 	Node: 1 
*************
          lb           xc           ub
-1.74533000E-01 -8.09352211E-02 1.22173000E+00
0.00000000E+00 5.84018802E-01 2.38569000E+00
-8.00000000E-01 5.72873671E-02 8.00000000E-01
-1.30000000E+00 -1.64884785E-01 1.00000000E+00
-5.23599000E-01 -8.65327578E-02 5.23599000E-01
-1.72072000E+00 1.48747796E-01 5.24821000E-01
-1.22173000E+00 1.66136262E-02 1.74533000E-01
0.00000000E+00 4.36478218E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 16 
*************
          lb           xc           ub
-6.00000000E-01 -2.10533184E-01 3.00000000E-01
-2.00000000E-01 1.34883706E-01 2.00000000E-01
7.00000000E-01 8.95082034E-01 9.00000000E-01
-5.00000000E-02 3.80171056E-02 5.00000000E-02
-5.00000000E-01 -4.05924296E-01 5.00000000E-01
-5.00000000E-02 2.14898326E-02 5.00000000E-02
-6.98132000E-01 1.81631907E-04 6.98132000E-01
-2.62000000E-01 5.89129561E-05 5.24000000E-01
-6.63225000E-01 -3.77526277E-07 6.63225000E-01
-8.00000000E-01 -5.64317919E-02 8.00000000E-01
-1.30000000E+00 5.04836584E-01 1.00000000E+00
-5.23599000E-01 -2.55246596E-02 5.23599000E-01
-1.72072000E+00 4.29766466E-01 5.24821000E-01
-1.74533000E-01 -8.18140083E-02 1.22173000E+00
0.00000000E+00 5.84234881E-01 2.38569000E+00
-8.00000000E-01 5.72611116E-02 8.00000000E-01
-1.30000000E+00 -1.64673712E-01 1.00000000E+00
-5.23599000E-01 -8.65579626E-02 5.23599000E-01
-1.72072000E+00 1.48551496E-01 5.24821000E-01
-1.22173000E+00 1.66926012E-02 1.74533000E-01
0.00000000E+00 4.36579374E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 17 
*************
          lb           xc           ub
-6.00000000E-01 -2.10426331E-01 3.00000000E-01
-2.00000000E-01 1.34885727E-01 2.00000000E-01
7.00000000E-01 8.95238561E-01 9.00000000E-01
-5.00000000E-02 3.80595240E-02 5.00000000E-02
-5.00000000E-01 -4.05784658E-01 5.00000000E-01
-5.00000000E-02 2.14071729E-02 5.00000000E-02
-6.98132000E-01 1.78159070E-04 6.98132000E-01
-2.62000000E-01 6.43930753E-05 5.24000000E-01
-6.63225000E-01 -7.27923565E-08 6.63225000E-01
-8.00000000E-01 -5.64535100E-02 8.00000000E-01
-1.30000000E+00 5.05039428E-01 1.00000000E+00
-5.23599000E-01 -2.53405311E-02 5.23599000E-01
-1.72072000E+00 4.31439412E-01 5.24821000E-01
-1.74533000E-01 -8.26861208E-02 1.22173000E+00
0.00000000E+00 5.84452514E-01 2.38569000E+00
-8.00000000E-01 5.72137243E-02 8.00000000E-01
-1.30000000E+00 -1.64484744E-01 1.00000000E+00
-5.23599000E-01 -8.65809068E-02 5.23599000E-01
-1.72072000E+00 1.48361391E-01 5.24821000E-01
-1.22173000E+00 1.67573722E-02 1.74533000E-01
0.00000000E+00 4.36658761E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 18 
*************
          lb           xc           ub
-6.00000000E-01 -2.10319453E-01 3.00000000E-01
-2.00000000E-01 1.34886864E-01 2.00000000E-01
7.00000000E-01 8.95411146E-01 9.00000000E-01
-5.00000000E-02 3.80994488E-02 5.00000000E-02
-5.00000000E-01 -4.05620895E-01 5.00000000E-01
-5.00000000E-02 2.13263315E-02 5.00000000E-02
-6.98132000E-01 1.78206208E-04 6.98132000E-01
-2.62000000E-01 7.10674446E-05 5.24000000E-01
-6.63225000E-01 -1.03998712E-07 6.63225000E-01
-8.00000000E-01 -5.64857598E-02 8.00000000E-01
-1.30000000E+00 5.05258288E-01 1.00000000E+00
-5.23599000E-01 -2.51676290E-02 5.23599000E-01
-1.72072000E+00 4.34285289E-01 5.24821000E-01
-1.74533000E-01 -8.34164437E-02 1.22173000E+00
0.00000000E+00 5.84669701E-01 2.38569000E+00
-8.00000000E-01 5.71745671E-02 8.00000000E-01
